age,job,marital,education,default,housing,loan,contact,month,day_of_week,mean,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,1,1,1,0,0,0,1,3,0,261,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
57,2,1,4,2,0,0,1,3,0,149,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
37,2,1,4,0,1,0,1,3,0,226,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
40,3,1,2,0,0,0,1,3,0,151,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
56,2,1,4,0,0,1,1,3,0,307,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
45,2,1,3,2,0,0,1,3,0,198,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
59,3,1,6,0,0,0,1,3,0,139,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
41,4,1,7,2,0,0,1,3,0,217,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
24,5,0,6,0,1,0,1,3,0,380,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
25,2,0,4,0,1,0,1,3,0,50,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
41,4,1,7,2,0,0,1,3,0,55,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
25,2,0,4,0,1,0,1,3,0,222,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
29,4,0,4,0,0,1,1,3,0,137,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
57,1,3,1,0,1,0,1,3,0,293,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
35,4,1,2,0,1,0,1,3,0,146,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
54,6,1,3,2,1,1,1,3,0,174,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
35,4,1,2,0,1,0,1,3,0,312,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
46,4,1,2,2,1,1,1,3,0,440,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
50,4,1,3,0,1,1,1,3,0,353,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
39,7,0,3,2,0,0,1,3,0,195,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
30,8,1,4,0,0,0,1,3,0,38,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
55,4,1,1,2,1,0,1,3,0,262,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
55,6,0,4,0,1,0,1,3,0,342,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
41,5,0,4,0,1,0,1,3,0,181,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
37,3,1,4,0,1,0,1,3,0,172,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
35,5,1,5,0,0,1,1,3,0,99,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
59,5,1,7,0,1,0,1,3,0,93,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
39,9,1,3,2,0,0,1,3,0,233,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
54,5,0,5,2,0,0,1,3,0,255,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
55,12,1,5,2,2,2,1,3,0,362,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
46,3,1,7,0,0,0,1,3,0,348,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
59,5,1,7,0,1,0,1,3,0,386,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
49,4,1,7,0,0,0,1,3,0,73,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
54,7,1,1,2,1,0,1,3,0,230,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
54,4,3,1,0,0,0,1,3,0,208,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
55,12,1,1,2,1,0,1,3,0,336,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
34,2,1,4,0,0,0,1,3,0,365,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
52,5,1,3,0,1,0,1,3,0,1666,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
41,3,1,5,0,1,0,1,3,0,577,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
56,5,1,1,0,1,0,1,3,0,137,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
58,7,2,5,0,1,0,1,3,0,366,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
32,10,1,4,0,1,0,1,3,0,314,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
38,3,0,6,0,0,0,1,3,0,160,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
57,3,1,5,0,0,1,1,3,0,212,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
44,3,1,5,2,1,0,1,3,0,188,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
42,5,0,6,2,0,0,1,3,0,22,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
57,3,1,5,0,1,1,1,3,0,616,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
40,4,1,3,0,0,1,1,3,0,178,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
35,3,1,5,0,1,0,1,3,0,355,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
45,4,1,3,0,1,0,1,3,0,225,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
54,3,1,4,0,0,0,1,3,0,160,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
39,1,1,1,0,0,1,1,3,0,266,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
60,3,1,4,0,0,0,1,3,0,253,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
53,3,0,6,0,0,0,1,3,0,179,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
55,4,1,1,2,0,0,1,3,0,269,2,28,0,2,1.1,93.994,-36.4,4.857,5191,0
55,5,1,6,2,1,0,1,3,0,135,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
50,7,1,5,2,0,1,1,3,0,161,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
45,2,1,4,2,1,0,1,3,0,787,1,28,0,2,1.1,93.994,-36.4,4.857,5191,0
